Heading,Response,Template,description,type,foci,"flavor
",place
It's a fucking,Already fucking seen one,@description @type who @foci,Addicted,Mage,Abides in Stone,always seems lost,a small town
I'm gonna be a,Give me a-fucking-nother one,@description @type who @foci and @flavor,Adroit,Scout,Adapts to Any Environment,can never love again,down south
"I'm sticking with a classic:
",Don't really give a fuck,dangerously @description @type that @foci,Angry,Speaker,Adopts Animal Qualities,dreams of electric sheep,out east
Who the fuck would be a,Another!!!!,somewhat @description @type that @foci,Appealing,Warrior,Aspires to be Posthuman,dyes their hair,out west
You couldn't pay me to be a ,That Doesn't even make sense!,@description @type from @place who @foci and @flavor,Beneficent,Rogue,Assists a Mad Genius,fears the unknown,parts unknown
I'm swapping my character sheet for a ,"I can work with that
",Some kind of @type that @flavor and @flavor,Brash,Party Face,Awakens Dreams,has a dark secret,the big city
I'd TPK myself if i had to play a ,The GM won't know what hit them,A @type from @place that's more @description than @description,Calm,Jack of all trades,Awakens Dangerous Psychic Talent,has a heart of gold,the future
Gonna carry this party with my,Not after the last time I wont!,,Chaotic,Knight,Becomes Bacterial,has a scar over their eye,the good ol' days
,,,Charming,Psychic,Bears a Halo of Fire,has perfect pitch,the middle of nowhere
,,,Clever,Craftsman,Bears a Holy Symbol,has poor manners,the past
,,,Clumsy,,Binds Spirits,has trouble paying attention,up north
,,,Craven,,Blows Stuff Up,hates the color grey,
,,,Crazy,,Brandishes a Death Ray,"hates water
",
,,,Creative,,Braves Dungeons,Is a damn fine chef,
,,,Cruel,,Builds Robots,is always a pessimist,
,,,Daring,,Builds Robots,is always an optimist,
,,,Dishonorable,,Calculates the Incalculable,"is blind in one eye
",
,,,Doomed,,Carries a Badge,is deaf in one ear,
,,,Driven,,Carries a Quiver,is illiterate,
,,,Earnest,,Carries the Burden of Knowledge,is on the run from the law,
,,,Empathic,,Carries the Weight of Destiny,is secretly undercover,
,,,Empirical,,Casts Spells,is vegan,
,,,Exiled,,Changes Shape,keeps getting sick,
,,,Extroverted,,Changes Shape,keeps to themselves,
,,,Fast,,Changes the Nature of Things,left a bad life behind them,
,,,Foolish,,Channels Divine Blessings,"left a good life behind them
",
,,,Gluttonous,,Channels Sinfire,loves to paint,
,,,Graceful,,Channels the Elements,loves to read,
,,,Guarded,,Charms the Unwary,never broke a bone,
,,,Hardy,,Chills with a Touch,Pays alimony,
,,,Heroic,,Collects Bounties,wants to raise rabbits,
,,,Hideous,,Commands Armies,is only 6 weeks from retirement,
,,,Honorable,,Commands Mental Powers,,
